TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Zfp395	Epb4.1l4a	-0.74559	49.82	-3.2E-01	rgb(147,175,229)	1.9873	2,2
Zfp429	Acad9	-0.74559	49.82	-3.2E-01	rgb(148,175,229)	1.9873	2,2
Zfp429	Eaf2	0.74559	49.82	0.323	rgb(221,155,156)	1.9873	2,2
Zfp467	Hspa2	0.74559	49.82	0.324	rgb(221,155,156)	1.9873	2,2
Zfp473	1700034H15Rik	-0.74559	49.82	-3.8E-01	rgb(134,166,232)	1.9873	2,2
Zfp473	Slc4a11	0.74559	49.82	0.32	rgb(221,156,157)	1.9873	2,2
Zfp513	Mir343	0.74559	49.82	0.359	rgb(221,149,149)	1.9873	2,2
Zfp516	Hspa2	0.74559	49.82	0.318	rgb(221,156,157)	1.9873	2,2
Zfp526	Zfp365	-0.74559	49.82	-3.2E-01	rgb(149,175,229)	1.9873	2,2
Zfp532	Myh6	0.74559	49.82	0.319	rgb(221,156,157)	1.9873	2,2
Zfp580	Krtcap2	0.74559	49.82	0.321	rgb(221,156,156)	1.9873	2,2
Zfp580	Rgs19	0.74559	49.82	0.316	rgb(220,157,157)	1.9873	2,2
Zfp598	Capsl	-0.74559	49.82	-3.2E-01	rgb(147,174,229)	1.9873	2,2
Zfp612	Slc25a30	-0.74559	49.82	-3.2E-01	rgb(147,175,229)	1.9873	2,2
Zfp629	Ccng1	-0.74559	49.82	-3.2E-01	rgb(148,175,229)	1.9873	2,2
Zfp629	Gmfg	0.74559	49.82	0.324	rgb(221,155,156)	1.9873	2,2
Zfp629	Tifab	0.74559	49.82	0.435	rgb(222,134,135)	1.9873	2,2
Zfp688	Grap	0.74559	49.82	0.319	rgb(221,156,157)	1.9873	2,2
Zfp719	Olfm1	-0.74559	49.82	-3.7E-01	rgb(137,168,231)	1.9873	2,2
Zfp750	D630023F18Rik	0.74559	49.82	0.349	rgb(221,150,151)	1.9873	2,2
Zfp763	Dars2	0.74559	49.82	0.322	rgb(221,155,156)	1.9873	2,2
Zfp775	Fbxo11	-0.74559	49.82	-3.2E-01	rgb(148,175,229)	1.9873	2,2
Zfp827	Srgn	-0.74559	49.82	-3.7E-01	rgb(137,169,231)	1.9873	2,2
Zfp831	Trps1	-0.74559	49.82	-3.2E-01	rgb(147,174,229)	1.9873	2,2
Zfp869	Dhcr24	-0.74559	49.82	-3.2E-01	rgb(147,174,229)	1.9873	2,2
Zhx1	Ston1	-0.74559	49.82	-3.2E-01	rgb(148,175,229)	1.9873	2,2
Zhx2	Asb2	-0.74559	49.82	-3.2E-01	rgb(148,175,229)	1.9873	2,2
Zhx2	Slc23a2	0.74559	49.82	0.325	rgb(221,155,156)	1.9873	2,2
Zscan10	C330021F23Rik	0.74559	49.82	0.318	rgb(220,156,157)	1.9873	2,2
Zscan10	Dusp8	0.74559	49.82	0.324	rgb(221,155,156)	1.9873	2,2
Ahdc1	Mx2	-0.74263	49.81	-3.1E-01	rgb(150,176,229)	1.9871	2,2
Ahrr	Asb2	0.74263	49.81	0.31	rgb(220,158,158)	1.9871	2,2
Ahrr	Procr	0.74263	49.84	0.337	rgb(221,153,153)	1.9877	2,2
Ahrr	Ssbp4	0.74263	49.81	0.308	rgb(220,158,159)	1.9871	2,2
Ahrr	Tiparp	0.74263	49.81	0.367	rgb(221,147,148)	1.9871	2,2
Ankzf1	Hk1	0.74263	49.81	0.313	rgb(220,157,158)	1.9871	2,2
Arid3a	Ccnd3	0.74263	49.81	0.311	rgb(220,158,158)	1.9871	None
Arid3b	Rpn1	-0.74263	49.81	-4.7E-01	rgb(116,156,235)	1.9871	2,2
Arntl2	Mgst3	0.74263	49.81	0.314	rgb(220,157,158)	1.9871	2,2
Arntl2	Pag1	-0.74263	49.81	-3.1E-01	rgb(150,176,229)	1.9871	None
Ascl4	Mir425	0.74263	49.85	0.347	rgb(221,151,151)	1.9879	2,2
Atf2	Cndp2	-0.74263	49.81	-3.1E-01	rgb(150,176,229)	1.9871	2,2
Atf3	Ikzf2	-0.74263	49.81	-3.5E-01	rgb(141,171,230)	1.9871	None
Atmin	Bspry	0.74263	49.81	0.309	rgb(220,158,159)	1.9871	2,2
Bach1	Jakmip1	0.74263	49.81	0.313	rgb(220,157,158)	1.9871	None
Bcl11b	Decr1	-0.74263	49.81	-3.1E-01	rgb(151,177,229)	1.9871	2,2
Bcl6	Aldoa	-0.74263	49.81	-3.1E-01	rgb(151,177,229)	1.9871	None
Bcl6	Ero1l	-0.74263	49.81	-3.1E-01	rgb(150,176,229)	1.9871	None
Bhlhe40	Ddit4	0.74263	49.81	0.463	rgb(222,129,130)	1.9871	2,2
Cebpb	Gpr56	0.74263	49.81	0.312	rgb(220,157,158)	1.9871	2,2
Creb3l2	Clec2i	-0.74263	49.81	-3.1E-01	rgb(149,176,229)	1.9871	2,2
Creb3l2	Ttc16	0.74263	49.81	0.309	rgb(220,158,159)	1.9871	2,2
Cux1	Cd101	0.74263	49.81	0.311	rgb(220,158,158)	1.9871	2,2
Cxxc5	Pacsin1	0.74263	49.81	0.327	rgb(221,154,155)	1.9871	2,2
Dach2	Mylk	0.74263	49.81	0.32	rgb(221,156,156)	1.9871	2,2
Ddit3	Avil	0.74263	49.81	0.305	rgb(220,159,159)	1.9871	2,2
Ddit3	Ypel5	0.74263	49.81	0.311	rgb(220,158,158)	1.9871	2,2
Dmrt1	Dlx3	0.74263	49.81	0.311	rgb(220,158,158)	1.9871	2,2
Dpf1	Tead3	0.74263	49.81	0.306	rgb(220,159,159)	1.9871	2,2
Dzip1	Kctd17	-0.74263	49.81	-3.1E-01	rgb(151,177,229)	1.9871	2,2
Eea1	Ece1	0.74263	49.81	0.308	rgb(220,158,159)	1.9871	2,2
Eomes	Eno3	0.74263	49.81	0.307	rgb(220,158,159)	1.9871	2,2
Epas1	Rasgrp1	0.74263	49.81	0.314	rgb(220,157,158)	1.9871	2,2
Erg	Aldoart1	-0.74263	49.84	-3.4E-01	rgb(143,172,230)	1.9877	2,2
Erg	Pappa2	-0.74263	49.81	-3.1E-01	rgb(149,176,229)	1.9871	2,2
Ets1	Ece1	-0.74263	49.81	-3.1E-01	rgb(150,176,229)	1.9871	None
Etv5	Olfm2	-0.74263	49.81	-3.9E-01	rgb(132,166,232)	1.9871	2,2
Etv6	Gatm	0.74263	49.81	0.305	rgb(220,159,159)	1.9871	2,2
Foxb1	Cxcl10	0.74263	49.81	0.31	rgb(220,158,158)	1.9871	2,2
