TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Zfp429	Megf8	-0.99713	50.23	-7.3E-01	rgb( 59,121,245)	1.9956	2,2
Cxxc5	Nod1	0.99704	50.18	0.679	rgb(224, 87, 89)	1.9945	2,2
Gabpa	Prpsap2	0.99704	50.18	0.684	rgb(225, 86, 88)	1.9945	None
Irf9	Rtp4	0.99704	50.18	0.678	rgb(224, 88, 89)	1.9945	None
Zeb2	Sntb1	-0.99704	50.18	-6.8E-01	rgb( 69,127,243)	1.9945	2,2
Zfp367	Pknox1	-0.99704	50.18	-6.8E-01	rgb( 70,127,243)	1.9945	2,2
Irf1	Tapbp	0.99698	50.22	0.719	rgb(225, 80, 81)	1.9953	None
Rarg	Il17f	0.99698	50.22	0.722	rgb(225, 79, 81)	1.9953	2,2
Stat2	Igtp	0.99698	50.22	0.717	rgb(225, 80, 81)	1.9953	2,2
C030039L03Rik	Per2	0.99676	50.18	0.677	rgb(224, 88, 89)	1.9945	2,2
Hes1	Spink2	0.99676	50.18	0.681	rgb(224, 87, 88)	1.9945	2,2
Irf4	Abcd3	-0.99676	50.18	-6.8E-01	rgb( 69,127,243)	1.9945	2,2
Irf7	Gbp9	0.99676	50.21	0.714	rgb(225, 81, 82)	1.9951	None
Jdp2	Pck2	0.99676	50.18	0.681	rgb(224, 87, 88)	1.9945	2,2
Prdm2	Dock4	0.99676	50.18	0.685	rgb(225, 86, 88)	1.9945	2,2
Prrx1	Cav1	0.99676	50.18	0.681	rgb(224, 87, 88)	1.9945	2,2
Srebf2	Hmgcr	0.99676	50.18	0.675	rgb(224, 88, 89)	1.9945	None
Tead1	Nupr1	0.99676	50.21	0.712	rgb(225, 81, 82)	1.9951	None
Xbp1	Rap1gds1	0.99676	50.18	0.684	rgb(225, 86, 88)	1.9945	2,2
Zfp280c	Rfx7	0.99676	50.18	0.678	rgb(224, 87, 89)	1.9945	2,2
Zfp948	Ankrd23	0.99676	50.2	0.701	rgb(225, 83, 85)	1.9949	2,2
Dpf1	Gipr	0.99666	50.17	0.67	rgb(224, 89, 90)	1.9943	2,2
Kdm5b	Rasgef1b	-0.99666	50.17	-6.7E-01	rgb( 72,129,242)	1.9943	2,2
Twist1	Fam160a1	0.99666	50.17	0.668	rgb(224, 89, 91)	1.9943	2,2
Zfp385a	Zfp365	0.99666	50.17	0.666	rgb(224, 90, 91)	1.9943	2,2
Zfx	S100a13	-0.99666	50.17	-6.7E-01	rgb( 72,129,242)	1.9943	None
Crem	Agpat9	0.99648	50.21	0.705	rgb(225, 82, 84)	1.9951	None
Egr1	Zfp346	0.99648	50.21	0.709	rgb(225, 82, 83)	1.9951	None
Ets1	Ldlrap1	0.99648	50.21	0.709	rgb(225, 82, 83)	1.9951	None
Maf	Aqp3	0.99648	50.21	0.713	rgb(225, 81, 82)	1.9951	None
Nfatc2	Atp2b4	0.99648	50.21	0.706	rgb(225, 82, 84)	1.9951	None
Sp2	E2f7	0.99648	50.21	0.708	rgb(225, 82, 83)	1.9951	None
Sp4	Bcor	-0.99648	50.21	-7.1E-01	rgb( 63,124,244)	1.9951	None
Sp4	Kbtbd11	0.99648	50.21	0.713	rgb(225, 81, 82)	1.9951	None
Tbx21	Ly6a	0.99648	50.21	0.707	rgb(225, 82, 83)	1.9951	2,2
Tcf3	Pdcd1lg2	-0.99648	50.21	-7.1E-01	rgb( 64,124,244)	1.9951	None
Ahr	Cyp1b1	0.99639	50.21	0.707	rgb(225, 82, 83)	1.9951	None
Hif1a	Bnip3	0.99639	50.21	0.71	rgb(225, 81, 83)	1.9951	None
Sox4	Nkx3-1	0.99639	50.21	0.71	rgb(225, 81, 83)	1.9951	None
Sp110	4833439L19Rik	0.99639	50.21	0.712	rgb(225, 81, 82)	1.9951	2,2
Sp110	Max	0.99639	50.21	0.713	rgb(225, 81, 82)	1.9951	2,2
Ahrr	Pdpn	0.99627	50.17	0.669	rgb(224, 89, 91)	1.9943	2,2
Irf7	2010002M12Rik	0.99627	50.17	0.674	rgb(224, 88, 90)	1.9943	None
Smad4	Prex1	0.99627	50.2	0.704	rgb(225, 83, 84)	1.9949	None
Vax2	Il17re	0.99627	50.17	0.669	rgb(224, 89, 90)	1.9943	2,2
Zbtb32	P4ha2	0.99627	50.17	0.668	rgb(224, 89, 91)	1.9943	2,2
Zeb2	Srxn1	0.99627	50.17	0.666	rgb(224, 90, 91)	1.9943	2,2
Akna	Rufy3	0.9962	50.2	0.7	rgb(225, 83, 85)	1.9949	2,2
Nr3c2	Slc4a11	0.9962	50.2	0.7	rgb(225, 83, 85)	1.9949	2,2
Rfx7	Nfatc1	0.9962	50.2	0.699	rgb(225, 84, 85)	1.9949	2,2
Zfp169	Inpp4a	0.9962	50.2	0.705	rgb(225, 82, 84)	1.9949	2,2
Arid3a	Itm2a	-0.99583	50.2	-7.0E-01	rgb( 64,124,244)	1.9949	None
