TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Bach1	Kdelc1	-0.74112	49.81	-3.1E-01	rgb(150,176,229)	1.9871	2,2
Batf	Endod1	-0.74112	49.81	-3.5E-01	rgb(140,170,230)	1.9871	2,2
Batf	Hvcn1	0.74112	49.81	0.309	rgb(220,158,159)	1.9871	2,2
Batf	Myh13	-0.74112	49.81	-3.1E-01	rgb(150,176,229)	1.9871	2,2
Batf	Pnkd	0.74112	49.81	0.481	rgb(222,125,126)	1.9871	2,2
Bcl11b	Igfbp4	0.74112	49.81	0.306	rgb(220,158,159)	1.9871	2,2
Bcl11b	Uba1	0.74112	49.82	0.324	rgb(221,155,156)	1.9873	2,2
Bcl6b	Lin7a	0.74112	49.81	0.306	rgb(220,159,159)	1.9871	2,2
Bhlhe41	Ckap4	0.74112	49.81	0.312	rgb(220,157,158)	1.9871	2,2
Cebpg	Zc3h7b	-0.74112	49.81	-3.1E-01	rgb(151,177,229)	1.9871	2,2
Cenpt	Anxa4	0.74112	49.81	0.311	rgb(220,158,158)	1.9871	2,2
Csrnp1	Arid5a	0.74112	49.81	0.315	rgb(220,157,158)	1.9871	2,2
Cxxc5	Dyx1c1	0.74112	49.81	0.308	rgb(220,158,159)	1.9871	2,2
Dzip1	Arrb2	-0.74112	49.81	-3.1E-01	rgb(149,176,229)	1.9871	2,2
Dzip1	Cmpk2	0.74112	49.81	0.405	rgb(221,140,141)	1.9871	2,2
Dzip1	Ripk2	0.74112	49.81	0.31	rgb(220,158,158)	1.9871	2,2
E2f4	Fads2	-0.74112	49.81	-3.1E-01	rgb(150,176,229)	1.9871	2,2
E2f4	Fam111a	-0.74112	49.81	-3.1E-01	rgb(149,176,229)	1.9871	2,2
Egr1	Fas	-0.74112	49.81	-3.1E-01	rgb(151,177,229)	1.9871	None
Egr1	Igf2bp1	0.74112	49.81	0.312	rgb(220,157,158)	1.9871	2,2
Egr1	Tnip3	-0.74112	49.81	-3.1E-01	rgb(151,177,229)	1.9871	2,2
Elf1	Tgfb3	0.74112	49.81	0.315	rgb(220,157,158)	1.9871	2,2
Elk3	Fut7	0.74112	49.81	0.309	rgb(220,158,159)	1.9871	2,2
Elk3	Gpr183	-0.74112	49.81	-3.1E-01	rgb(150,176,229)	1.9871	None
Eomes	Fam78b	0.74112	49.81	0.314	rgb(220,157,158)	1.9871	2,2
Erf	Ssbp4	0.74112	49.81	0.313	rgb(220,157,158)	1.9871	2,2
Ets1	Cyp2s1	-0.74112	49.81	-3.1E-01	rgb(151,177,229)	1.9871	2,2
Ets2	Eml6	0.74112	49.81	0.306	rgb(220,158,159)	1.9871	2,2
Etv1	Clec2g	0.74112	49.81	0.312	rgb(220,157,158)	1.9871	2,2
Etv5	Efna5	0.74112	49.81	0.326	rgb(221,155,155)	1.9871	2,2
Etv5	Mrc1	-0.74112	49.81	-3.1E-01	rgb(150,176,229)	1.9871	2,2
Fbxl19	Numbl	0.74112	49.81	0.472	rgb(222,127,128)	1.9871	2,2
Fli1	Lingo3	0.74112	49.81	0.305	rgb(220,159,159)	1.9871	2,2
Fli1	Spn	-0.74112	49.81	-3.1E-01	rgb(151,177,229)	1.9871	2,2
Fli1	Tnik	-0.74112	49.81	-3.1E-01	rgb(150,176,229)	1.9871	2,2
Fos	Cwh43	-0.74112	49.81	-3.1E-01	rgb(150,176,229)	1.9871	2,2
Fos	Gfi1	0.74112	49.81	0.419	rgb(222,137,138)	1.9871	2,2
Fos	Nedd4	0.74112	49.81	0.314	rgb(220,157,158)	1.9871	2,2
Foxb1	Il18r1	-0.74112	49.81	-3.1E-01	rgb(150,177,229)	1.9871	2,2
Foxp3	Adck1	-0.74112	49.81	-3.1E-01	rgb(149,176,229)	1.9871	2,2
Foxp3	Wdr1	0.74112	49.81	0.311	rgb(220,158,158)	1.9871	2,2
Foxs1	Ablim3	0.74112	49.81	0.311	rgb(220,158,158)	1.9871	2,2
Foxs1	Marcksl1	0.74112	49.81	0.314	rgb(220,157,158)	1.9871	2,2
Gata2	Acvrl1	0.74112	49.81	0.31	rgb(220,158,158)	1.9871	2,2
Gata3	Sema6b	-0.74112	49.81	-3.1E-01	rgb(149,176,229)	1.9871	2,2
Gli1	Ergic1	0.74112	49.81	0.315	rgb(220,157,158)	1.9871	2,2
Gli3	Ncf1	-0.74112	49.81	-3.1E-01	rgb(150,176,229)	1.9871	None
Glis2	Syngr3	0.74112	49.81	0.356	rgb(221,149,150)	1.9871	2,2
Gm5595	Dock7	0.74112	49.81	0.324	rgb(221,155,156)	1.9871	2,2
Gm5595	Tmem136	0.74112	49.81	0.313	rgb(220,157,158)	1.9871	2,2
Gtf2ird1	Nynrin	0.74112	49.81	0.322	rgb(221,155,156)	1.9871	2,2
Hes1	Armcx2	-0.74112	49.81	-3.1E-01	rgb(151,177,229)	1.9871	2,2
Hes1	C2cd4b	-0.74112	49.81	-3.1E-01	rgb(149,176,229)	1.9871	2,2
Hes1	Ticam2	-0.74112	49.81	-3.1E-01	rgb(149,176,229)	1.9871	2,2
Hey1	Ttc39c	0.74112	49.81	0.311	rgb(220,158,158)	1.9871	2,2
Hif1a	B9d1	0.74112	49.81	0.313	rgb(220,157,158)	1.9871	2,2
Hif3a	Cyp2s1	0.74112	49.81	0.307	rgb(220,158,159)	1.9871	2,2
Hif3a	Pgm2	0.74112	49.81	0.306	rgb(220,159,159)	1.9871	2,2
