TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Xbp1	Coro7	-0.99558	49.92	-3.9E-02	rgb(208,212,218)	1.9937	None
Zbed3	Zadh2	0.99557	49.935	0.438	rgb(222,133,134)	1.994	2,2
Rorc	Il1r1	0.99555	49.975	0.474	rgb(222,126,127)	1.9948	None
Zfp385a	Acot1	0.99551	49.93	0.432	rgb(222,134,135)	1.9939	2,2
Zfp629	Zfp90	0.99551	49.93	0.429	rgb(222,135,136)	1.9939	2,2
Lin54	Anln	0.99547	49.94	0.44	rgb(222,133,134)	1.9941	None
Zfp750	Ckmt1	0.99547	49.94	0.438	rgb(222,133,134)	1.9941	2,2
Mbnl2	Jup	0.99545	49.965	0.465	rgb(222,128,129)	1.9946	2,2
Dr1	Idi1	0.99544	49.925	0.425	rgb(222,136,137)	1.9938	2,2
Cebpb	Nfil3	0.99542	49.955	0.457	rgb(222,130,131)	1.9944	None
Rbpj	Taf7	0.99538	49.92	0.064	rgb(218,205,205)	1.9937	None
Scml4	4632428N05Rik	0.99538	49.92	0.419	rgb(222,137,138)	1.9937	2,2
Gata1	Sh3bp1	0.99536	49.91	0.41	rgb(222,139,140)	1.9935	None
Zbtb32	Asns	0.99534	49.93	0.433	rgb(222,134,135)	1.9939	2,2
Rbck1	Syce2	-0.99532	49.915	-4.1E-01	rgb(128,163,233)	1.9936	2,2
Usf2	Mafg	0.9953	49.905	0.41	rgb(222,139,140)	1.9934	None
Sp6	Wnt3	0.99527	49.905	0.407	rgb(221,139,140)	1.9934	2,2
Zfp354c	Acpp	0.99527	49.905	0.404	rgb(221,140,141)	1.9934	2,2
Mxd1	Smyd5	-0.99525	49.945	-4.4E-01	rgb(121,159,234)	1.9942	2,2
Gata1	Auh	0.99521	49.925	0.425	rgb(222,136,137)	1.9938	None
Nfe2l2	Itpk1	0.99521	49.925	0.424	rgb(222,136,137)	1.9938	None
Smad3	Acsbg1	0.99519	49.975	0.475	rgb(222,126,127)	1.9948	None
Dmrt1	Tacc2	0.99517	49.965	0.465	rgb(222,128,129)	1.9946	None
Drap1	Rpl36al	0.99514	49.905	0.402	rgb(221,140,141)	1.9934	2,2
Zfp750	Prss42	0.99514	49.905	0.403	rgb(221,140,141)	1.9934	2,2
Dpf1	Gls2	0.99512	49.92	0.42	rgb(222,137,138)	1.9937	2,2
Kdm5b	Aldoc	0.9951	49.91	0.409	rgb(222,139,140)	1.9935	2,2
