Regulator	Target	Weight	stroke
Etv6	Anxa6	-1.3442	rgb(144,173,230)
Hif1a	Anxa9	1.4354	rgb(221,148,149)
Batf	Aoc2	-1.3113	rgb(146,174,229)
Fosl2	Ap1ar	-1.381	rgb(142,171,230)
Rorc	Ap3b1	-1.0144	rgb(162,183,227)
Stat3	Ap3s1	-1.076	rgb(159,181,227)
Nfe2l2	Ap4b1	1.2937	rgb(221,155,156)
Rorc	Apaf1	-1.2196	rgb(151,177,229)
Hif1a	Apba3	1.7893	rgb(222,131,132)
Batf	Apbb1ip	-1.945	rgb(111,153,235)
Irf4	Apbb1ip	-1.9489	rgb(111,153,236)
Hif1a	Apbb3	1.8489	rgb(222,129,130)
Etv6	Apex1	-1.4567	rgb(138,169,231)
Batf	Aplp1	1.2225	rgb(220,159,159)
Irf4	Aplp1	1.2502	rgb(220,157,158)
Fosl2	Aplp1	1.6189	rgb(221,140,140)
Hif1a	Aplp1	1.4213	rgb(221,149,150)
Fosl2	Apoa1bp	1.1871	rgb(220,160,161)
Irf4	Apobec1	-1.2375	rgb(150,176,229)
Batf	Apold1	1.1656	rgb(220,161,162)
Stat3	Apold1	1.322	rgb(221,154,154)
Irf4	Appl1	1.832	rgb(222,129,130)
Maf	Appl1	-1.6567	rgb(127,162,233)
Stat3	Appl2	1.1	rgb(220,164,165)
Hif1a	Appl2	1.7114	rgb(222,135,136)
Batf	Aqp3	-1.4636	rgb(138,169,231)
Irf4	Aqp3	1.6531	rgb(222,138,139)
Maf	Aqp3	1.429	rgb(221,149,149)
Fosl2	Aqp3	1.8862	rgb(222,127,128)
Batf	Arap2	1.6879	rgb(222,136,137)
Irf4	Arap2	1.4302	rgb(221,149,149)
Rorc	Arap2	-1.1156	rgb(156,180,228)
Irf4	Arc	-1.6045	rgb(130,164,232)
Stat3	Arc	-1.6208	rgb(129,163,232)
Fosl2	Arc	-1.1425	rgb(155,179,228)
Batf	Arf2	-1.596	rgb(130,164,232)
Maf	Arf2	-1.4656	rgb(137,169,231)
Maf	Arf6	-1.7947	rgb(120,158,234)
Stat3	Arf6	1.7125	rgb(222,135,136)
Maf	Arfip1	-1.3916	rgb(141,171,230)
Batf	Arhgap10	-1.9001	rgb(114,154,235)
Irf4	Arhgap12	1.944	rgb(222,124,125)
Stat3	Arhgap12	1.7157	rgb(222,135,136)
Rorc	Arhgap12	-1.15	rgb(155,179,228)
Maf	Arhgap15	-1.2684	rgb(148,175,229)
Fosl2	Arhgap15	1.6058	rgb(221,140,141)
Batf	Arhgap17	1.8399	rgb(222,129,130)
Batf	Arhgap18	1.9653	rgb(222,123,124)
Rorc	Arhgap18	-1.7901	rgb(120,158,234)
Fosl2	Arhgap18	1.9786	rgb(222,122,123)
Irf4	Arhgap19	1.1121	rgb(220,164,164)
Fosl2	Arhgap21	-1.8033	rgb(119,157,234)
Rorc	Arhgap25	-1.6994	rgb(125,161,233)
Hif1a	Arhgap30	1.5403	rgb(221,143,144)
