TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Egr3	Dctpp1	0.070579	25	0	rgb(217,217,217)	1.4908	None
Egr4	Slc7a1	0.070579	25	0	rgb(217,217,217)	1.4908	None
Foxa1	Dock11	0.070579	25	0	rgb(217,217,217)	1.4908	None
Gata1	Dhh	0.070579	25	0	rgb(217,217,217)	1.4908	None
Gata3	Enam	0.070579	25	0	rgb(217,217,217)	1.4908	2,2
Gli3	Palm	0.070579	25	0	rgb(217,217,217)	1.4908	None
Glis3	Klf13	0.070579	25	0	rgb(217,217,217)	1.4908	None
Gm13154	Krt6b	0.070579	25	0	rgb(217,217,217)	1.4908	2,2
Gm13157	Strc	0.070579	25	0	rgb(217,217,217)	1.4908	2,2
Gm6710	Fzd3	0.070579	25	0	rgb(217,217,217)	1.4908	2,2
Hoxd4	Mpped2	0.070579	25	0	rgb(217,217,217)	1.4908	2,2
Hoxd4	Pdpn	0.070579	25	0	rgb(217,217,217)	1.4908	2,2
Ikzf5	1700001L05Rik	0.070579	25	0	rgb(217,217,217)	1.4908	2,2
Mafb	Slc38a3	0.070579	25	0	rgb(217,217,217)	1.4908	None
Nhlh1	Slc15a1	0.070579	25	0	rgb(217,217,217)	1.4908	None
Nhlh1	Tom1	0.070579	25	0	rgb(217,217,217)	1.4908	None
Nr3c1	Gpr82	0.070579	25	0	rgb(217,217,217)	1.4908	None
Phf20	Cd1d1	0.070579	25	0	rgb(217,217,217)	1.4908	2,2
Plscr1	Gpr174	0.070579	25	0	rgb(217,217,217)	1.4908	2,2
Ppara	Agpat9	0.070579	25	0	rgb(217,217,217)	1.4908	None
Rara	Itga7	0.070579	25	0	rgb(217,217,217)	1.4908	None
Rel	Lair1	0.070579	25	0	rgb(217,217,217)	1.4908	2,2
Runx3	Amdhd2	0.070579	25	0	rgb(217,217,217)	1.4908	2,2
Sox5	Cdc42ep3	0.070579	25	0	rgb(217,217,217)	1.4908	2,2
Srf	Ptpn11	0.070579	25	0	rgb(217,217,217)	1.4908	None
Stat2	Rab39	0.070579	25	0	rgb(217,217,217)	1.4908	2,2
Tead1	Gypc	0.070579	25	0	rgb(217,217,217)	1.4908	None
Thra	Ms4a6c	0.070579	25	0	rgb(217,217,217)	1.4908	None
Trp53	Ddit3	0.070579	25	0	rgb(217,217,217)	1.4908	None
Zfp109	Hc	0.070579	25	0	rgb(217,217,217)	1.4908	2,2
Zfp111	AI414108	0.070579	25	0	rgb(217,217,217)	1.4908	2,2
Zfp354c	Tmem19	0.070579	25	0	rgb(217,217,217)	1.4908	2,2
Zfp449	Gm4952	0.070579	25	0	rgb(217,217,217)	1.4908	2,2
Zfp472	Bcl2a1c	0.070579	25	0	rgb(217,217,217)	1.4908	2,2
Zfp473	Hapln1	0.070579	25	0	rgb(217,217,217)	1.4908	2,2
Zfp532	Fam160a1	0.070579	25	0	rgb(217,217,217)	1.4908	2,2
Zfp568	Pgf	0.070579	25	0	rgb(217,217,217)	1.4908	2,2
Zfp667	Rhoq	0.070579	25	0	rgb(217,217,217)	1.4908	2,2
Zfp791	Itga11	0.070579	25	0	rgb(217,217,217)	1.4908	2,2
Zfp879	Cpa2	0.070579	25	0	rgb(217,217,217)	1.4908	2,2
Zfp90	Mmp14	0.070579	25	0	rgb(217,217,217)	1.4908	2,2
Zfp937	Krt14	0.070579	25	0	rgb(217,217,217)	1.4908	2,2
Cebpg	Trappc10	-0.070542	30.475	-2.2E-01	rgb(169,188,225)	1.6005	None
Rara	Gramd1b	-0.070542	30.475	-2.3E-01	rgb(168,187,226)	1.6005	None
Irf4	Osm	-0.070524	29.285	-3.4E-02	rgb(210,212,218)	1.5766	None
Myt1l	Gm10389	0.070505	26.815	0.065	rgb(218,205,205)	1.5271	2,2
Irf2	Pik3ca	-0.070468	30.855	-1.0E-01	rgb(195,203,221)	1.6081	None
Zfx	Lrrc59	0.070468	30.855	0.103	rgb(218,197,198)	1.6081	None
Irf5	Runx2	0.070449	27.845	0.096	rgb(218,199,199)	1.5478	None
Osr2	Scml4	0.07043	29.87	0.122	rgb(218,194,194)	1.5883	None
Tet1	Zfp831	0.070412	28.44	0.189	rgb(219,181,181)	1.5597	2,2
Hmx3	Svep1	0.070393	26.325	0.073	rgb(218,203,203)	1.5173	None
Fosb	Glis2	-0.070356	30.355	-1.1E-01	rgb(194,203,221)	1.5981	None
Mitf	Spry1	-0.070356	30.355	-1.1E-01	rgb(194,203,221)	1.5981	None
Egr3	Mvp	-0.070337	29.275	-2.4E-02	rgb(212,214,218)	1.5764	None
Ar	Mbp	0.068903	24	0	rgb(217,217,217)	1.4708	None
Cenpt	Tgfbi	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Cggbp1	Abcc3	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Dzip1	Psd	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Egr3	Ptpn4	0.068903	24	0	rgb(217,217,217)	1.4708	None
Egr3	Syngr3	0.068903	24	0	rgb(217,217,217)	1.4708	None
Egr4	Unc13b	0.068903	24	0	rgb(217,217,217)	1.4708	None
Etv2	G630025P09Rik	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Fli1	Otud1	0.068903	24	0	rgb(217,217,217)	1.4708	None
Foxb1	Ano7	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Foxh1	Bahcc1	0.068903	24	0	rgb(217,217,217)	1.4708	None
Gfi1	Gm6792	0.068903	24	0	rgb(217,217,217)	1.4708	None
Gm10324	Npr1	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Grhl2	Ankrd6	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Hes5	Rasgef1b	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Hey1	P2rx5	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Heyl	Upp1	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Hmg20b	2610035D17Rik	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Hoxb1	Tom1	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Hoxd4	Il20rb	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Insm1	Zbtb7c	0.068903	24	0	rgb(217,217,217)	1.4708	None
Irf8	Myo10	0.068903	24	0	rgb(217,217,217)	1.4708	None
Jazf1	Mllt3	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Jazf1	Pdgfrb	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Klf13	Rimkla	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Klf7	Cd47	0.068903	24	0	rgb(217,217,217)	1.4708	None
Lin28b	Ptger3	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Maff	Chka	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Meis1	Snai2	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Mlxipl	Gm1123	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Msc	Ccr3	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Nhlh1	Il9r	0.068903	24	0	rgb(217,217,217)	1.4708	None
Nr1h2	Cacna1h	0.068903	24	0	rgb(217,217,217)	1.4708	None
Ovol1	Fam20c	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Peg3	Efna1	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Plagl1	Tfg	0.068903	24	0	rgb(217,217,217)	1.4708	None
Pou2af1	Plaur	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Ppara	Capg	0.068903	24	0	rgb(217,217,217)	1.4708	None
Ppara	Rnf170	0.068903	24	0	rgb(217,217,217)	1.4708	None
Prrx1	Prlr	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Rfx3	Nbl1	0.068903	24	0	rgb(217,217,217)	1.4708	None
Rorc	Scn2b	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Runx2	Hc	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Snai2	Nbl1	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Snapc2	Krt6b	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Snapc2	Tnni1	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Srebf1	Slc39a8	0.068903	24	0	rgb(217,217,217)	1.4708	None
Srebf2	Tmem63c	0.068903	24	0	rgb(217,217,217)	1.4708	None
Zbtb17	Mak	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Zbtb4	Bmp7	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Zfp119b	Cd1d2	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Zfp287	Wtip	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Zfp322a	Crtam	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Zfp322a	Peli2	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Zfp345	Fcgr3	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Zfp345	Hapln1	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Zfp367	Gm2762	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Zfp382	Myh7	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Zfp418	Fnd3c2	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Zfp420	Pomc	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Zfp458	Mfsd7c	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Zfp532	Igj	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Zfp534	1700040L02Rik	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Zfp558	Foxh1	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Zfp57	Il17rc	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Zfp57	Il1a	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Zfp580	Trmt11	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Zfp629	Rapsn	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Zfp64	Shd	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Zfp651	4930429B21Rik	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Zfp68	Tpst1	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Zfp791	1700008I05Rik	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Zfp81	Lekr1	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Zfp90	Casz1	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Zfp937	Slc27a4	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Zfp961	Zfp791	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Zic5	F5	0.068903	24	0	rgb(217,217,217)	1.4708	2,2
Scrt1	Lzts1	0.068884	27.34	0.091	rgb(218,200,200)	1.5377	2,2
Bcl6b	Anxa3	0.068325	25.5	0	rgb(217,217,217)	1.5008	None
Bhlha15	Fxyd7	0.068325	25.5	0	rgb(217,217,217)	1.5008	2,2
Foxb1	Syde2	0.068325	25.5	0	rgb(217,217,217)	1.5008	2,2
Heyl	Serpinb9d	0.068325	25.5	0	rgb(217,217,217)	1.5008	2,2
Hmga2	Klra2	0.068325	25.5	0	rgb(217,217,217)	1.5008	None
Hmx3	Atp7b	0.068325	25.5	0	rgb(217,217,217)	1.5008	2,2
Irf4	Ifitm5	0.068325	25.5	0	rgb(217,217,217)	1.5008	None
Meis1	Fzd4	0.068325	25.5	0	rgb(217,217,217)	1.5008	None
Meis3	Fkrp	0.068325	25.5	0	rgb(217,217,217)	1.5008	2,2
Mitf	Rhbdl3	0.068325	25.5	0	rgb(217,217,217)	1.5008	None
Nr2f1	Plce1	0.068325	25.5	0	rgb(217,217,217)	1.5008	None
Nr4a1	Gyltl1b	0.068325	25.5	0	rgb(217,217,217)	1.5008	None
Nr4a1	Me2	0.068325	25.5	0	rgb(217,217,217)	1.5008	None
