TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Foxp1	Arhgap12	-0.99629	50.17	-6.7E-01	rgb( 72,129,242)	1.9943	None
Gabpa	Pxmp2	-0.99629	50.17	-6.7E-01	rgb( 72,129,242)	1.9943	None
Gata3	Il13	0.99629	50.17	0.673	rgb(224, 89, 90)	1.9943	None
Hsf1	Gm12942	-0.99629	50.17	-6.7E-01	rgb( 71,128,242)	1.9943	None
Irf1	Tgtp2	0.99629	50.17	0.672	rgb(224, 89, 90)	1.9943	None
Irf7	Pydc4	0.99629	50.17	0.673	rgb(224, 88, 90)	1.9943	2,2
Jun	Kdelc2	-0.99629	50.17	-6.7E-01	rgb( 71,128,243)	1.9943	None
Mxi1	Serpine1	0.99629	50.17	0.672	rgb(224, 89, 90)	1.9943	None
Nfkb2	Psd	0.99629	50.17	0.668	rgb(224, 89, 91)	1.9943	2,2
Nr1h2	Gltscr2	0.99629	50.17	0.673	rgb(224, 88, 90)	1.9943	None
Patz1	Reps1	0.99629	50.17	0.667	rgb(224, 90, 91)	1.9943	None
Prrx1	Cav1	0.99629	50.17	0.666	rgb(224, 90, 91)	1.9943	2,2
Rreb1	Ube2q2	-0.99629	50.17	-6.7E-01	rgb( 71,128,243)	1.9943	None
Rxra	Mpp2	0.99629	50.17	0.673	rgb(224, 88, 90)	1.9943	None
Smad4	Nefh	-0.99629	50.17	-6.7E-01	rgb( 72,129,242)	1.9943	None
Sp4	Sema4a	0.99629	50.17	0.672	rgb(224, 89, 90)	1.9943	None
Stat5b	Spin4	-0.99629	50.17	-6.7E-01	rgb( 72,129,242)	1.9943	None
Zeb1	Stk38l	0.99629	50.17	0.666	rgb(224, 90, 91)	1.9943	None
Casz1	Dusp8	0.99596	50.13	0.633	rgb(224, 96, 97)	1.9935	2,2
Epas1	Ero1l	0.99596	50.13	0.627	rgb(224, 97, 99)	1.9935	None
Foxs1	Vax2	0.99596	50.16	0.656	rgb(224, 92, 93)	1.9941	2,2
Gli1	Plac8	0.99596	50.13	0.628	rgb(224, 97, 98)	1.9935	None
Hif1a	2310022B05Rik	0.99596	50.13	0.631	rgb(224, 97, 98)	1.9935	None
Ikzf4	Sfrp2	0.99596	50.13	0.628	rgb(224, 97, 98)	1.9935	2,2
Irf1	Trim24	0.99596	50.13	0.629	rgb(224, 97, 98)	1.9935	None
Mxd1	Sema7a	0.99596	50.13	0.628	rgb(224, 97, 98)	1.9935	None
Myc	Sfmbt1	0.99596	50.13	0.625	rgb(224, 98, 99)	1.9935	None
Nfkb1	Spib	0.99596	50.13	0.627	rgb(224, 97, 99)	1.9935	None
Sox4	Akap2	0.99596	50.13	0.634	rgb(224, 96, 97)	1.9935	None
Sp110	4833439L19Rik	0.99596	50.13	0.632	rgb(224, 96, 98)	1.9935	2,2
Trp53	Gna15	0.99596	50.13	0.629	rgb(224, 97, 98)	1.9935	None
Zbtb32	Fam129a	0.99596	50.13	0.634	rgb(224, 96, 97)	1.9935	2,2
Zeb2	Akr1b8	0.99596	50.13	0.634	rgb(224, 96, 97)	1.9935	2,2
Zfp367	Exo1	0.99596	50.13	0.63	rgb(224, 97, 98)	1.9935	2,2
Zfp367	Wdr76	0.99596	50.13	0.625	rgb(224, 98, 99)	1.9935	2,2
Zfp536	Tlcd1	-0.99596	50.13	-6.3E-01	rgb( 81,134,241)	1.9935	2,2
Ahr	Ahrr	0.9957	50.16	0.656	rgb(224, 92, 93)	1.9941	None
Ets1	Slc9a3r1	0.9957	50.16	0.657	rgb(224, 91, 93)	1.9941	None
Irf1	Gbp7	0.9957	50.16	0.659	rgb(224, 91, 92)	1.9941	None
Irf5	Trpv2	0.9957	50.16	0.664	rgb(224, 90, 91)	1.9941	None
Mxd1	Socs3	0.9957	50.16	0.659	rgb(224, 91, 92)	1.9941	None
Nr4a1	Trpc3	-0.9957	50.16	-6.6E-01	rgb( 75,130,242)	1.9941	2,2
Patz1	Mboat7	0.9957	50.16	0.656	rgb(224, 92, 93)	1.9941	None
Rxrb	Gbp9	-0.9957	50.16	-6.6E-01	rgb( 74,130,242)	1.9941	None
Smad3	Tal2	-0.9957	50.16	-6.6E-01	rgb( 73,129,242)	1.9941	None
Sp2	Crtc1	0.9957	50.16	0.661	rgb(224, 91, 92)	1.9941	None
Stat4	Evi2a	0.9957	50.16	0.663	rgb(224, 90, 92)	1.9941	None
Tead1	Socs2	0.9957	50.16	0.664	rgb(224, 90, 92)	1.9941	2,2
Vax2	Dab2	0.9957	50.16	0.656	rgb(224, 92, 93)	1.9941	2,2
Zfp750	Robo3	0.9957	50.16	0.658	rgb(224, 91, 93)	1.9941	2,2
Akna	Tmem183a	-0.99538	50.12	-6.2E-01	rgb( 82,135,241)	1.9933	2,2
Ets1	Ly6e	0.99538	50.12	0.618	rgb(224, 99,100)	1.9933	None
Hsf2	Trat1	0.99538	50.12	0.617	rgb(224, 99,100)	1.9933	None
Irf9	I830012O16Rik	0.99538	50.12	0.619	rgb(224, 99,100)	1.9933	2,2
Irf9	Pydc4	0.99538	50.12	0.62	rgb(224, 99,100)	1.9933	2,2
Kdm5b	Utrn	0.99538	50.12	0.625	rgb(224, 98, 99)	1.9933	2,2
Klf4	Per2	-0.99538	50.12	-6.2E-01	rgb( 82,135,241)	1.9933	None
Myc	Smyd5	0.99538	50.12	0.624	rgb(224, 98, 99)	1.9933	None
Myc	Usp35	-0.99538	50.12	-6.2E-01	rgb( 82,135,241)	1.9933	None
Nfkb1	Akna	0.99538	50.12	0.623	rgb(224, 98, 99)	1.9933	None
Nr4a2	Anxa3	-0.99538	50.12	-6.2E-01	rgb( 83,136,240)	1.9933	2,2
Pparg	Lrrfip1	-0.99538	50.12	-6.2E-01	rgb( 83,135,240)	1.9933	None
Trp53	Marcks	0.99538	50.12	0.624	rgb(224, 98, 99)	1.9933	None
Zfp26	Ept1	0.99538	50.12	0.62	rgb(224, 99,100)	1.9933	2,2
Zfp365	Ccng1	0.99538	50.12	0.62	rgb(224, 99,100)	1.9933	2,2
Zfp750	Ppp1r10	0.99538	50.12	0.618	rgb(224, 99,100)	1.9933	2,2
Zfp787	Ocrl	-0.99538	50.12	-6.2E-01	rgb( 82,135,241)	1.9933	2,2
Cebpg	Slc1a4	0.99504	50.15	0.648	rgb(224, 93, 95)	1.9939	None
Egr1	Egr2	0.99504	50.15	0.654	rgb(224, 92, 93)	1.9939	None
Egr3	Lamc2	-0.99504	50.15	-6.5E-01	rgb( 75,131,242)	1.9939	None
Etv4	Asns	0.99504	50.15	0.649	rgb(224, 93, 94)	1.9939	2,2
Hif1a	Malt1	0.99504	50.15	0.646	rgb(224, 94, 95)	1.9939	None
