TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
Nupr1	Psph	-0.99435	0.99	-7.8E-02	rgb(200,207,220)	1.98	2,2
Nupr1	Trib3	0.99435	0.99	0.293	rgb(220,161,162)	1.98	2,2
Oasl1	Ifit1	0.99435	0.99	0.367	rgb(221,147,148)	1.98	2,2
Oasl1	Rtp4	0.99435	0.99	0.241	rgb(220,171,171)	1.98	2,2
Ppp1r10	4632434I11Rik	0.99435	0.99	0.203	rgb(219,178,179)	1.98	2,2
Trim21	Gbp9	0.99435	0.99	0.037	rgb(217,210,210)	1.98	2,2
Trim30a	Irf7	0.99435	0.99	0.134	rgb(218,191,192)	1.98	2,2
Trim30a	Trim12c	0.99435	0.99	0.371	rgb(221,146,147)	1.98	2,2
Trim30a	Xaf1	0.99435	0.99	0.419	rgb(222,137,138)	1.98	2,2
Xrn1	Zkscan17	0.99435	0.99	0.162	rgb(219,186,186)	1.98	2,2
Zbp1	Gbp10	0.99435	0.99	0.314	rgb(220,157,158)	1.98	2,2
Zfp365	4632434I11Rik	0.99435	0.99	0.337	rgb(221,153,153)	1.98	2,2
Zfp365	Ccng1	0.99435	0.99	0.317	rgb(220,157,157)	1.98	2,2
Zfp365	Eng	0.99435	0.99	0.005	rgb(217,216,216)	1.98	2,2
Zfp365	Ercc5	0.99435	0.99	0.144	rgb(219,189,190)	1.98	2,2
Zfp365	Phlda3	0.99435	0.99	0.203	rgb(219,178,179)	1.98	2,2
Zfp365	Plxna1	0.99435	0.99	0.226	rgb(219,174,174)	1.98	2,2
Zfp365	Psrc1	0.99435	0.99	0.462	rgb(222,129,130)	1.98	2,2
Zfp365	Ptp4a3	0.99435	0.99	0.073	rgb(218,203,203)	1.98	2,2
Zfp365	Rnf169	0.99435	0.99	0.156	rgb(219,187,187)	1.98	2,2
Zfp365	Slc19a2	0.99435	0.99	0.283	rgb(220,163,164)	1.98	2,2
Zfp365	Sulf2	0.99435	0.99	0.491	rgb(222,123,124)	1.98	2,2
