TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
Stat1	Gm4841	0.99463	0.99	0.011	rgb(217,215,215)	1.98	None
Stat1	Icam1	0.99463	0.99	0.132	rgb(218,192,192)	1.98	None
Stat1	Igtp	0.99463	0.99	0.138	rgb(219,191,191)	1.98	None
Stat1	Nlrc5	0.99463	0.99	0.069	rgb(218,204,204)	1.98	2,2
Stat1	Parp9	0.99463	0.99	0.49	rgb(222,123,124)	1.98	None
Stat1	Tbx21	0.99463	0.99	0.242	rgb(220,171,171)	1.98	2,2
Stat1	Zbp1	0.99463	0.99	0.234	rgb(220,172,173)	1.98	None
Stat2	Rtp4	0.99463	0.99	0.031	rgb(217,211,211)	1.98	None
Stat3	Jak3	0.99463	0.99	0.387	rgb(221,143,144)	1.98	None
Stat3	Socs3	0.99463	0.99	0.209	rgb(219,177,177)	1.98	None
Stat4	Arhgef6	0.99463	0.99	0.278	rgb(220,164,164)	1.98	None
Tead1	Hmgcr	0.99463	0.99	0.192	rgb(219,180,181)	1.98	None
Tead1	Ikzf4	0.99463	0.99	0.286	rgb(220,162,163)	1.98	None
Tead1	Nupr1	0.99463	0.99	0.646	rgb(224, 94, 95)	1.98	None
Tead1	Pigr	0.99463	0.99	0.396	rgb(221,141,142)	1.98	None
Tead1	Socs2	0.99463	0.99	0.036	rgb(217,210,210)	1.98	2,2
Tead1	Zfp608	0.99463	0.99	0.166	rgb(219,185,186)	1.98	None
Thra	Nr1d1	0.99463	0.99	0.275	rgb(220,164,165)	1.98	None
Vax2	Cysltr1	0.99463	0.99	0.358	rgb(221,149,149)	1.98	2,2
Vax2	Il17re	0.99463	0.99	0.495	rgb(222,123,124)	1.98	2,2
Vax2	Il23r	0.99463	0.99	0.4	rgb(221,141,141)	1.98	2,2
Vdr	Ell2	0.99463	0.99	0.102	rgb(218,198,198)	1.98	None
Vdr	Fbxo30	0.99463	0.99	0.167	rgb(219,185,185)	1.98	None
Vdr	Phf6	-0.99463	0.99	-7.3E-02	rgb(201,207,220)	1.98	None
Vdr	Plekho1	0.99463	0.99	0.088	rgb(218,200,200)	1.98	None
Vdr	Tnk2	0.99463	0.99	0.187	rgb(219,181,182)	1.98	None
Zbed6	Zfp445	0.99463	0.99	0.359	rgb(221,148,149)	1.98	None
Zfp148	Adam10	0.99463	0.99	0.365	rgb(221,147,148)	1.98	None
Zfp281	Inpp1	0.99463	0.99	0.047	rgb(218,208,208)	1.98	None
Zic2	Kcnc3	0.99463	0.99	0.115	rgb(218,195,195)	1.98	None
Arrb1	Atp7b	0.99463	0.99	0.222	rgb(219,175,175)	1.98	2,2
Arrb1	Bnip3	0.99463	0.99	0.033	rgb(217,211,211)	1.98	2,2
Arrb1	Egln1	0.99463	0.99	0.475	rgb(222,126,127)	1.98	2,2
