Regulator	Target	Weight	stroke
Sp4	2410002f23rik	0.20467	rgb(218,197,198)
Fosl2	2410004b18rik	-0.33314	rgb(181,195,223)
Ikzf3	2410004b18rik	-0.31737	rgb(183,196,223)
Fosl2	2410006h16rik	0.35354	rgb(219,183,184)
Atf6	2410015m20rik	0.31385	rgb(219,187,187)
Ddit3	2410015m20rik	-0.34995	rgb(179,194,224)
Sp4	2410015m20rik	0.47284	rgb(220,172,172)
Zeb1	2410015m20rik	-0.34476	rgb(180,194,224)
Ikzf3	2410016o06rik	-0.33196	rgb(181,195,223)
Lef1	2410016o06rik	0.34332	rgb(219,184,185)
Bcl11b	2410089e03rik	-0.32602	rgb(182,195,223)
Smarca4	2410131k14rik	0.54394	rgb(220,165,166)
Zeb1	2510003e04rik	-0.84896	rgb(125,161,233)
Atf6	2510039o18rik	-0.32475	rgb(182,196,223)
Hif1a	2510039o18rik	0.32192	rgb(219,186,187)
Lef1	2510039o18rik	0.33779	rgb(219,185,185)
Sp4	2510039o18rik	0.2561	rgb(218,193,193)
Zfp36l2	2510039o18rik	-0.34173	rgb(180,194,223)
Irf8	2610001j05rik	0.42929	rgb(219,176,176)
Nfatc2	2610001j05rik	0.34432	rgb(219,184,184)
Sp4	2610002j02rik	0.34843	rgb(219,184,184)
Ikzf3	2610002m06rik	-0.32908	rgb(181,195,223)
Maf	2610002m06rik	-0.32119	rgb(182,196,223)
Nfe2l2	2610005l07rik	-0.33058	rgb(181,195,223)
Nfe2l2	2610008e11rik	-0.33716	rgb(180,195,223)
Tsc22d3	2610015p09rik	0.84834	rgb(222,136,137)
Bcl11b	2610020h08rik	-0.31674	rgb(183,196,223)
Id2	2610020h08rik	0.33239	rgb(219,185,186)
Nfatc2	2610020h08rik	0.32943	rgb(219,186,186)
Nfe2l2	2610020h08rik	0.34731	rgb(219,184,184)
Sp4	2610020h08rik	-0.86163	rgb(124,160,233)
Atf6	2610301b20rik	0.32424	rgb(219,186,186)
Smarca4	2610301b20rik	-0.66733	rgb(145,173,230)
Bcl11b	2610507b11rik	-0.33538	rgb(181,195,223)
Atf6	2610524h06rik	0.31432	rgb(219,187,187)
Rorc	2700029m09rik	-0.32985	rgb(181,195,223)
Zeb1	2700029m09rik	0.29277	rgb(219,189,189)
Atf6	2700060e02rik	0.33975	rgb(219,185,185)
Tsc22d3	2700060e02rik	0.42621	rgb(219,176,177)
Tsc22d3	2700089e24rik	-0.67544	rgb(144,172,230)
Atf6	2700094k13rik	0.34124	rgb(219,184,185)
Etv6	2700094k13rik	0.32162	rgb(219,186,187)
Ikzf3	2700094k13rik	-0.31885	rgb(182,196,223)
Irf8	2700094k13rik	0.24384	rgb(218,194,194)
Pou2af1	2700094k13rik	-0.149	rgb(201,207,220)
Tsc22d3	2700094k13rik	-1.638	rgb( 39,109,248)
Zeb1	2700094k13rik	0.45258	rgb(219,174,174)
Hif1a	2700097o09rik	0.3525	rgb(219,183,184)
Nfatc2	2700097o09rik	0.32151	rgb(219,186,187)
Fosl2	2700099c18rik	0.30877	rgb(219,188,188)
Egr2	2810002d19rik	-0.3166	rgb(183,196,223)
Nfe2l2	2810002d19rik	0.30912	rgb(219,187,188)
Ikzf3	2810004n23rik	-0.3378	rgb(180,195,223)
Bcl11b	2810006k23rik	-0.33509	rgb(181,195,223)
Crem	2810006k23rik	-0.343	rgb(180,194,224)
Nfatc2	2810006k23rik	0.34998	rgb(219,184,184)
Nfe2l2	2810006k23rik	0.32443	rgb(219,186,186)
Zfp36l2	2810006k23rik	-0.32705	rgb(182,195,223)
Atf6	2810417h13rik	0.35662	rgb(219,183,183)
Batf	2810417h13rik	-0.35147	rgb(179,194,224)
Ikzf3	2810417h13rik	-0.32048	rgb(182,196,223)
Nfatc2	2810417h13rik	0.35619	rgb(219,183,183)
Smarca4	2810417h13rik	-0.33597	rgb(181,195,223)
Atf6	2810428i15rik	0.32731	rgb(219,186,186)
Lef1	2810428i15rik	0.35039	rgb(219,184,184)
Smarca4	2810428i15rik	0.46581	rgb(220,173,173)
Batf	2810474o19rik	-0.34979	rgb(179,194,224)
Bcl11b	2810474o19rik	-0.36183	rgb(178,193,224)
Egr2	2810474o19rik	-0.35899	rgb(178,193,224)
Id2	2810474o19rik	0.35302	rgb(219,183,184)
Irf4	2810474o19rik	-0.34553	rgb(180,194,224)
Pou2af1	2810474o19rik	0.2601	rgb(218,192,192)
Rorc	2810474o19rik	-0.34028	rgb(180,195,223)
Zfp36l2	2810474o19rik	-0.35967	rgb(178,193,224)
Atf6	2900026a02rik	-0.334	rgb(181,195,223)
Bcl11b	2900026a02rik	0.31347	rgb(219,187,187)
Id2	2900026a02rik	-0.31884	rgb(182,196,223)
Irf4	2900026a02rik	-0.36278	rgb(178,193,224)
